Date ,OPEN ,HIGH ,LOW ,close 
26-Oct-20,"2,689.95","2,709.95","2,670.50","2,688.20"
27-Oct-20,"2,699.75","2,718.15","2,624.10","2,630.15"
28-Oct-20,"2,650.00","2,655.95","2,606.00","2,622.20"
29-Oct-20,"2,608.00","2,655.00","2,600.25","2,632.65"
30-Oct-20,"2,636.10","2,674.35","2,621.60","2,664.85"
02-Nov-20,"2,660.00","2,664.85","2,600.05","2,604.60"
03-Nov-20,"2,604.00","2,665.00","2,601.05","2,633.60"
04-Nov-20,"2,610.00","2,721.85","2,610.00","2,653.15"
05-Nov-20,"2,685.00","2,710.00","2,667.00","2,685.70"
06-Nov-20,"2,699.00","2,713.25","2,681.30","2,707.45"
09-Nov-20,"2,731.10","2,744.00","2,695.10","2,726.60"
10-Nov-20,"2,697.20","2,713.15","2,638.35","2,649.60"
11-Nov-20,"2,667.95","2,692.80","2,643.40","2,687.80"
12-Nov-20,"2,686.00","2,713.00","2,661.75","2,671.05"
13-Nov-20,"2,655.75","2,664.90","2,636.00","2,656.85"
14-Nov-20,"2,677.95","2,689.00","2,660.05","2,670.35"
17-Nov-20,"2,695.00","2,695.00","2,650.05","2,666.05"
18-Nov-20,"2,661.00","2,664.20","2,607.05","2,626.65"
19-Nov-20,"2,637.00","2,676.15","2,630.85","2,636.90"
20-Nov-20,"2,655.00","2,676.00","2,627.55","2,660.25"
23-Nov-20,"2,690.00","2,730.00","2,665.00","2,724.25"
24-Nov-20,"2,734.40","2,743.00","2,705.00","2,722.05"
25-Nov-20,"2,729.00","2,732.95","2,688.20","2,701.30"
26-Nov-20,"2,686.00","2,730.95","2,680.00","2,720.60"
27-Nov-20,"2,705.00","2,717.70","2,669.05","2,679.65"
01-Dec-20,"2,679.00","2,735.90","2,624.45","2,726.80"
02-Dec-20,"2,719.00","2,754.70","2,702.45","2,749.55"
03-Dec-20,"2,773.90","2,773.90","2,700.80","2,709.45"
04-Dec-20,"2,710.80","2,738.85","2,699.00","2,727.55"
