,Date,Open,High,Low,Close
0,26-Oct-20,2688.2,2709.95,2670.5,2688.2
1,27-Oct-20,2630.15,2718.15,2624.1,2630.15
2,28-Oct-20,2622.2,2655.95,2606.0,2622.2
3,29-Oct-20,2632.65,2655.0,2600.25,2632.65
4,30-Oct-20,2664.85,2674.35,2621.6,2664.85
5,02-Nov-20,2604.6,2664.85,2600.05,2604.6
6,03-Nov-20,2633.6,2665.0,2601.05,2633.6
7,04-Nov-20,2653.15,2721.85,2610.0,2653.15
8,05-Nov-20,2685.7,2710.0,2667.0,2685.7
9,06-Nov-20,2707.45,2713.25,2681.3,2707.45
10,09-Nov-20,2726.6,2744.0,2695.1,2726.6
11,10-Nov-20,2649.6,2713.15,2638.35,2649.6
12,11-Nov-20,2687.8,2692.8,2643.4,2687.8
13,12-Nov-20,2671.05,2713.0,2661.75,2671.05
14,13-Nov-20,2656.85,2664.9,2636.0,2656.85
15,14-Nov-20,2670.35,2689.0,2660.05,2670.35
16,17-Nov-20,2666.05,2695.0,2650.05,2666.05
17,18-Nov-20,2626.65,2664.2,2607.05,2626.65
18,19-Nov-20,2636.9,2676.15,2630.85,2636.9
19,20-Nov-20,2660.25,2676.0,2627.55,2660.25
20,23-Nov-20,2724.25,2730.0,2665.0,2724.25
21,24-Nov-20,2722.05,2743.0,2705.0,2722.05
22,25-Nov-20,2701.3,2732.95,2688.2,2701.3
23,26-Nov-20,2720.6,2730.95,2680.0,2720.6
24,27-Nov-20,2679.65,2717.7,2669.05,2679.65
25,01-Dec-20,2726.8,2735.9,2624.45,2726.8
26,02-Dec-20,2749.55,2754.7,2702.45,2749.55
27,03-Dec-20,2709.45,2773.9,2700.8,2709.45
28,04-Dec-20,2727.55,2738.85,2699.0,2727.55
29,07-Dec-20,2737.7,2744.0,2706.15,2737.7
30,08-Dec-20,2797.3,2805.55,2732.45,2797.3
31,09-Dec-20,2810.8,2840.0,2793.15,2810.8
32,10-Dec-20,2784.3,2827.3,2780.25,2784.3
33,11-Dec-20,2783.6,2807.7,2764.55,2783.6
34,14-Dec-20,2797.7,2804.0,2756.25,2797.7
35,15-Dec-20,2761.55,2794.7,2755.0,2761.55
36,16-Dec-20,2814.2,2819.8,2760.45,2814.2
37,17-Dec-20,2838.2,2853.7,2805.0,2838.2
38,18-Dec-20,2861.0,2898.0,2846.2,2861.0
39,21-Dec-20,2820.15,2886.5,2785.0,2820.15
40,22-Dec-20,2872.5,2883.65,2818.65,2872.5
41,23-Dec-20,2908.75,2919.0,2865.45,2908.75
42,24-Dec-20,2909.35,2921.35,2883.2,2909.35
43,28-Dec-20,2929.4,2949.7,2902.0,2929.4
44,29-Dec-20,2930.5,2952.0,2920.0,2930.5
45,30-Dec-20,2909.3,2947.7,2902.0,2909.3
46,31-Dec-20,2862.75,2905.0,2845.0,2862.75
47,01-Jan-21,2928.25,2940.0,2879.0,2928.25
48,04-Jan-21,3039.45,3050.75,2940.95,3039.45
49,05-Jan-21,3093.0,3114.25,3039.6,3093.0
50,06-Jan-21,3051.5,3113.5,3037.2,3051.5
51,07-Jan-21,3032.8,3080.85,3000.25,3032.8
52,08-Jan-21,3120.9,3128.0,3060.0,3120.9
53,11-Jan-21,3176.45,3230.0,3146.55,3176.45
54,12-Jan-21,3174.85,3210.0,3150.0,3174.85
55,13-Jan-21,3158.95,3177.0,3126.25,3158.95
56,14-Jan-21,3250.7,3266.5,3120.4,3250.7
57,15-Jan-21,3233.35,3274.0,3210.0,3233.35
58,18-Jan-21,3221.75,3256.75,3187.4,3221.75
59,19-Jan-21,3260.7,3279.0,3232.0,3260.7
60,20-Jan-21,3308.8,3327.95,3267.1,3308.8
61,21-Jan-21,3273.85,3309.15,3262.1,3273.85
62,22-Jan-21,3303.1,3325.0,3241.9,3303.1
63,25-Jan-21,3291.3,3339.8,3278.65,3291.3
64,27-Jan-21,3261.05,3306.45,3227.0,3261.05
65,28-Jan-21,3196.55,3275.0,3183.8,3196.55
66,29-Jan-21,3111.35,3216.85,3100.0,3111.35
67,01-Feb-21,3139.35,3165.0,3044.1,3139.35
68,02-Feb-21,3203.45,3224.0,3150.0,3203.45
69,03-Feb-21,3200.05,3236.0,3162.65,3200.05
70,04-Feb-21,3188.45,3237.85,3176.0,3188.45
71,05-Feb-21,3157.95,3205.85,3129.0,3157.95
72,08-Feb-21,3214.1,3226.0,3155.15,3214.1
73,09-Feb-21,3176.9,3245.8,3164.0,3176.9
74,10-Feb-21,3213.3,3219.4,3157.3,3213.3
75,11-Feb-21,3206.0,3219.3,3185.05,3206.0
76,12-Feb-21,3190.8,3245.5,3182.0,3190.8
77,15-Feb-21,3139.85,3209.0,3131.55,3139.85
78,16-Feb-21,3108.8,3167.65,3100.0,3108.8
79,17-Feb-21,3073.1,3132.85,3045.55,3073.1
80,18-Feb-21,3057.35,3097.9,3031.0,3057.35
81,19-Feb-21,3071.85,3087.15,3016.15,3071.85
82,22-Feb-21,2958.45,3096.0,2943.15,2958.45
83,23-Feb-21,2980.2,3028.0,2968.0,2980.2
84,24-Feb-21,2948.1,3003.35,2921.15,2948.1
85,25-Feb-21,2995.3,3029.9,2968.45,2995.3
86,26-Feb-21,2894.3,2972.35,2880.0,2894.3
